2,exact,500000,315.601
4,exact,500000,240.228
6,exact,500000,232.776
8,exact,500000,224.985
10,exact,500000,222.187
2,baseline,352804,254.452
4,baseline,389203,181.45
6,baseline,407378,169.69
8,baseline,420074,153.732
10,baseline,429234,125.526
2,uniform,165942,134.626
4,uniform,197959,112.81
6,uniform,218388,103.8
8,uniform,233540,100.887
10,uniform,246215,85.685
2,nonuniform,147582,129.786
4,nonuniform,179185,93.977
6,nonuniform,198795,97.773
8,nonuniform,214125,94.854
10,nonuniform,225906,80.33
