5K,50K,500K,5M
0.0,3.03712698693624E-4,9.493709327159515E-4,0.0013490427627576272
0.0,0.0019065992646554702,0.0017520636934132115,0.003107711699872803
0.0,3.621210560535663E-4,0.005738164212676147,0.004682107870769048
0.0,4.8203616628141483E-4,9.004855662932125E-4,6.445108157729279E-4
0.0,9.883017856600247E-4,0.003193960701402453,8.34372915456846E-4
0.0,1.5825300655245283E-4,1.6587462722795818E-4,4.092512750409009E-4
0.0,0.007295120201554234,0.009213008693413927,0.010537855588107384
0.0,4.90832450277445E-4,0.0012346979965621,9.777929380522905E-4
0.0,1.224588376661734E-4,0.0010001739708608414,0.003894342650537235
0.0,0.0012864260056273415,5.702893304534532E-4,0.00442240478402288
0.0,1.4331678919298716E-4,7.718657196600234E-4,0.0013892460405263713
0.0,1.6619888487866142E-4,4.629000393806324E-4,0.0014217495794654983
0.0,0.005251615943204929,0.0017644354672310073,0.0036656680989737363
0.0,0.0013009266207710851,0.001456815036458657,0.0017156837834802654
0.0,2.9919536623267845E-4,4.934406568003648E-4,0.001415864823454241
0.0,3.846669613206289E-4,0.0010519189615943727,2.54770646386577E-4
0.0,2.423533574916788E-4,6.053371340218045E-4,0.00668517220731921
0.0,1.6188801413537435E-4,0.006350616193551957,0.003182110986401744
0.0,4.1572998113791244E-4,2.5647472136226075E-4,6.167123854843207E-4
0.0,6.126971634528422E-4,7.413077191932105E-5,0.0011553624978084798
0.0,3.415638943283299E-5,3.269389613634764E-6,1.4020565759193746E-4
0.0,0.0011802438075712517,0.004984353208075849,8.618560193253369E-5
0.0,6.313184292151491E-4,5.273128787194787E-4,0.002006474219138132
0.0,1.393478827650865E-4,0.0013045000985508822,1.2430931605197939E-5
0.0,8.883872627168532E-4,0.0012716570069628804,0.0032191554616188313
0.0,9.661944944979204E-4,0.0020119667772616028,0.003831470147071115
0.0,0.0018827984440248355,0.0013943986741003173,0.005066255668478819
0.0,4.422307444928627E-4,2.563971301012084E-4,2.1860927278382998E-4
0.0,0.0017896439961904247,2.2350937364276873E-4,4.4432590807227853E-4
0.0,4.7932917157855493E-4,1.3986958517221495E-4,8.919395202183078E-4
0.0,2.1611598633612634E-4,0.004128081569677669,8.466247675516077E-4
0.0,7.677454388975415E-5,2.454647144802969E-4,8.082627650005477E-4
0.0,2.3589837634232412E-4,6.083674400771575E-4,1.0125697591620657E-4
0.0,8.778313105926313E-4,0.00289441282135793,0.0021227248786854875
0.0,0.002826378102499424,2.3616884439319895E-4,0.0020653486874250846
0.0,0.001390278694801814,0.0035156554710557134,0.0016455191368738658
0.0,0.0019690503088490648,0.004236713170850093,4.6909677302527986E-4
0.0,0.0017953234102425952,0.003057821911404077,2.4806610431305236E-4
0.0,2.9991002699178746E-4,0.001101131756393895,0.0020706039871911585
0.0,0.0024155763362726655,0.003056977875162643,0.002113714290665036
0.0,1.0319994163998209E-4,3.57724535081516E-5,5.38295996137952E-5
0.0,0.0012763084669611395,0.0050809203913730555,0.001346588827399468
0.0,6.126695424405822E-4,0.0031650329425934845,0.005752614320681319
0.0,2.721280017419695E-4,0.001763918779642343,3.202853876417941E-4
0.0,0.0011006922499072476,0.0017885161721957166,1.4322851116812182E-4
0.0,1.1163255434940795E-4,0.005317837989181058,4.6117605320188164E-4
0.0,0.003256371808346109,4.861279620611421E-4,0.007261331717884485
0.0,3.207755336401633E-4,3.8272345167479784E-4,0.0032419913087740975
0.0,0.0033237383516092366,0.0010758734966951826,4.5610011175826193E-7
0.0,0.004471688193638156,0.0021769242489094987,0.002890152336878837
0.0,0.0012634518910632792,0.0011396412050791477,0.003547180006685193
0.0,3.3903767136409285E-5,7.755108152949546E-4,0.0011094984931651142
0.0,0.0017082472449910734,4.891841996033442E-4,0.003681430326199719
0.0,0.0026375372095135724,0.0030107573687380347,0.0010891090929767454
0.0,2.495271833377061E-4,9.703692750107469E-4,0.0013820985955299212
0.0,0.003752256221238836,0.0034397179511704676,0.0027675455057655433
0.0,8.524141368341001E-4,0.002562856150578131,0.0013588312277657843
0.0,0.0013217475169791386,0.0031317965357344725,0.0017094502804378196
0.0,0.0018269612195092448,0.0026125138179525064,0.002306378342342238
0.0,0.0029705536584855867,0.002709639312090748,0.0018324099220084751
0.0,0.00455572677843573,0.0029181190582463234,0.004122707210924069
0.0,4.932354172180747E-4,1.8134742093035405E-4,2.3625664646252252E-4
0.0,1.152369087282685E-4,4.507069917936466E-5,9.676572126352825E-5
0.0,8.384632723369891E-4,3.288902264743559E-4,6.343728619189071E-5
0.0,9.178071854902966E-4,0.0012523408581923909,9.076459196789571E-4
0.0,0.0023658595937775615,0.00508629176782328,0.003243338172289749
0.0,5.556251495063613E-4,1.0604579890809908E-4,7.921614069096117E-4
0.0,0.0012879090215992968,0.0019432511220713073,2.5239594469457727E-4
0.0,5.217983531698768E-4,8.24243402947779E-4,1.7256373793120682E-4
0.0,1.485888929890561E-4,4.1563640259625857E-4,1.8633697407816763E-4
0.0,1.8045029756378375E-4,2.989850111216944E-4,2.451087440608981E-4
0.0,4.180445836532695E-4,9.866845795850815E-5,6.579040585823682E-4
0.0,2.045318591611727E-4,0.0010556180314853676,5.512929365724153E-4
