5K,50K,500K,5M
0.0,0.0,2.7174043964099828E-5,6.647603125840697E-5
0.0,0.0,1.4986612231641655E-5,6.878635151727686E-5
0.0,0.0,3.995837983794402E-5,1.2210031971843132E-4
0.0,0.0,2.486072364280153E-5,7.160609326023812E-5
0.0,0.0,1.4659787932076274E-5,3.58682042108843E-5
0.0,0.0,5.325095869785184E-6,1.1492125528682595E-4
0.0,0.0,6.296638782071953E-5,7.821593174269138E-5
0.0,0.0,1.5536316401798867E-5,1.1563504844997103E-4
0.0,0.0,1.7417841556635972E-5,4.863310605336187E-5
0.0,0.0,3.539046346334551E-5,1.0924422342592625E-4
0.0,0.0,3.433406839304727E-5,8.462809427929377E-5
0.0,0.0,1.2039293145103265E-4,2.1128457961874076E-5
0.0,0.0,1.1282682549392431E-5,4.812371174236931E-5
0.0,0.0,3.102445579052928E-5,3.449079469561261E-5
0.0,0.0,1.4621278755651418E-5,8.539766018030275E-5
0.0,0.0,6.002100661564867E-5,7.459645582492427E-6
0.0,0.0,5.901866248639871E-6,9.587792529812901E-6
0.0,0.0,1.6073696069784535E-5,1.2090328430325816E-4
0.0,0.0,7.092069913527285E-7,1.6844426248057073E-5
0.0,0.0,1.3808208468503962E-5,3.0068617364366342E-5
0.0,0.0,2.1109484695858307E-4,2.3247017947147884E-5
0.0,0.0,4.031708391418884E-5,1.3312722691295381E-4
0.0,0.0,2.0443110651298526E-6,2.086055720721076E-5
0.0,0.0,9.892440540286702E-6,4.1313652045397055E-5
0.0,0.0,3.756619470522651E-5,1.6142333943299183E-4
0.0,0.0,1.4972570793950404E-6,3.290438806900421E-5
0.0,0.0,1.0528664021749165E-5,6.1565192494466575E-6
0.0,0.0,1.86144328374615E-6,3.07332967434946E-5
0.0,0.0,1.4514451816493388E-5,1.2137388351524943E-5
0.0,0.0,1.935505493289339E-5,1.0944206412814726E-4
0.0,0.0,1.2033564294628326E-4,1.9479464417783945E-5
0.0,0.0,1.4738777582710646E-4,3.4021609802541055E-5
0.0,0.0,9.368987354765801E-5,6.632505842280525E-5
0.0,0.0,5.8991122307556056E-5,6.634980468325666E-5
0.0,0.0,1.3367421713536146E-5,1.360119677635619E-5
0.0,0.0,9.48391455679023E-5,1.4644804130932055E-4
0.0,0.0,5.649649616978911E-5,4.635833764594328E-5
0.0,0.0,2.6055003251712417E-5,1.5181212669793216E-5
0.0,0.0,5.4958377566398744E-5,1.0923350683081373E-4
0.0,0.0,7.457851118312445E-5,7.1401202154674646E-6
0.0,0.0,4.658693780196809E-5,1.85761389780248E-5
0.0,0.0,9.960189331075708E-5,1.748578412490117E-4
0.0,0.0,1.0216536357198522E-4,4.9478067296486054E-5
0.0,0.0,3.114820453898905E-5,6.39229405788972E-5
0.0,0.0,6.607154481117278E-5,1.016089058245835E-4
0.0,0.0,1.8376901038491393E-5,1.6677298644800658E-5
0.0,0.0,1.467013188163667E-5,2.90436095382001E-5
0.0,0.0,2.610485154463918E-5,3.999351379948417E-5
0.0,0.0,8.945280309065292E-5,5.19714400110075E-6
0.0,0.0,3.985935713506111E-6,1.4116091266525146E-4
0.0,0.0,1.2236607640601182E-5,2.4389785289512192E-5
0.0,0.0,1.1881129400104246E-4,3.422868574465817E-5
0.0,0.0,1.3323678830822963E-4,1.297658231893169E-4
0.0,0.0,8.258472282734661E-7,2.368590371412553E-6
0.0,0.0,2.6613137930233485E-7,1.8671180809841008E-5
