5K,50K,500K,5M
0.0,0.0,1.3197758332528315E-4,1.9324390390749755E-7
0.0,0.0,7.112979024113618E-5,5.780472650362758E-6
0.0,0.0,1.4152607383935252E-4,3.685779930254701E-5
0.0,0.0,1.5335944823202385E-6,8.769155017007947E-5
0.0,0.0,6.823272656903901E-7,8.591564949884249E-7
0.0,0.0,6.213569963397369E-7,5.194681786901876E-7
0.0,0.0,1.1559753148731449E-7,1.705719012468604E-7
0.0,0.0,8.262832277870965E-6,6.609974526463122E-5
0.0,0.0,1.838223557505731E-5,1.365350234107249E-5
0.0,0.0,2.802031326337893E-4,2.0562502010794165E-4
0.0,0.0,1.0801494649761508E-4,5.354985961087466E-5
0.0,0.0,4.4751081803664326E-5,4.425737420324091E-5
0.0,0.0,1.2003909435916025E-4,3.7433962814713115E-5
0.0,0.0,1.6050774450602633E-4,2.2872129353327888E-4
0.0,0.0,9.797131497859196E-8,5.581847965700423E-5
0.0,0.0,3.793879921272868E-5,1.730976067082695E-4
0.0,0.0,7.818594772984108E-5,7.348435170421507E-5
0.0,0.0,3.079545723242988E-5,2.408892286711544E-6
0.0,0.0,7.595394783232235E-5,3.6443138688998575E-5
0.0,0.0,1.0183484735206885E-5,2.9693908238327813E-5
0.0,0.0,1.2074111339905866E-7,6.6530900336557505E-6
0.0,0.0,1.0296969232885341E-5,1.250717179253836E-5
0.0,0.0,1.0832465225166853E-4,5.3861017394572936E-5
0.0,0.0,5.796914965721806E-8,6.345037272326078E-6
0.0,0.0,4.7928610647725556E-6,6.006427943365579E-5
0.0,0.0,1.4784879053970503E-4,2.657632537031931E-5
0.0,0.0,1.3695106389495794E-4,1.0051652829263972E-5
0.0,0.0,1.0810639854522789E-4,7.599973528458917E-6
0.0,0.0,1.3598152751716797E-5,4.138962822134907E-5
0.0,0.0,2.4239400426817736E-7,8.145837697743721E-6
0.0,0.0,7.345251964930158E-5,9.208372300693013E-5
0.0,0.0,2.1619052153559343E-7,7.058460508401475E-6
0.0,0.0,1.847050236535064E-6,1.1234158043916517E-4
0.0,0.0,3.581403728687551E-5,1.5944011482943668E-4
0.0,0.0,4.00684760143003E-6,9.173881181118782E-5
0.0,0.0,1.7799817614690784E-4,4.159540904850665E-5
0.0,0.0,2.8003300092547765E-5,1.2507260142561348E-5
0.0,0.0,2.1412051049690003E-4,7.257502122313932E-5
0.0,0.0,1.317311659701401E-4,1.1189244755948853E-4
0.0,0.0,7.773496194852947E-5,4.714312090875377E-5
0.0,0.0,2.6116600368153895E-5,2.0002758672611275E-5
0.0,0.0,8.44736013411827E-5,4.026264818740389E-5
0.0,0.0,1.4052595424188274E-4,4.863143007846782E-5
0.0,0.0,1.762106445143532E-5,3.684743737814472E-5
0.0,0.0,5.1888756993269516E-5,5.424233848854497E-5
0.0,0.0,2.068876729055307E-6,4.282117730116143E-5
0.0,0.0,1.3473963551900817E-4,1.0754360893037164E-4
0.0,0.0,2.140110939718549E-4,5.879701014755772E-5
0.0,0.0,1.3706010264234488E-7,1.5456949358323636E-5
0.0,0.0,1.2045303013934917E-4,7.522569531574702E-5
0.0,0.0,4.009134528650161E-5,8.6009890574911E-6
0.0,0.0,2.3805037731319977E-4,8.19026984662418E-6
0.0,0.0,6.33778498953729E-5,3.460581699490584E-5
0.0,0.0,2.10158846277588E-8,1.61363659082103E-5
0.0,0.0,1.7747512904584595E-8,2.7939024361735392E-5
0.0,0.0,5.597822068136427E-5,1.1537245479759361E-5
0.0,0.0,4.768140362722011E-6,7.544359623344134E-5
0.0,0.0,7.492035965335791E-6,6.899570172532604E-6
