2,exact,500000,598.559
4,exact,500000,490.973
6,exact,500000,458.76
8,exact,500000,432.76
10,exact,500000,374.546
2,baseline,471914,405.045
4,baseline,486410,299.469
6,baseline,491967,273.554
8,baseline,494643,232.946
10,baseline,496253,210.777
2,uniform,267377,212.445
4,uniform,307178,183.835
6,uniform,331305,149.407
8,uniform,347376,129.23
10,uniform,359805,119.139
2,nonuniform,248516,198.098
4,nonuniform,288620,175.151
6,nonuniform,312980,152.445
8,nonuniform,330466,129.006
10,nonuniform,343432,111.186
